;"Activity type","Duration","From","To","Comment"
"Class","03:09","2019-01-07 17:27","2019-01-07 20:37",
"Transport","00:47","2019-01-07 16:40","2019-01-07 17:27",
"Productivity ","01:43","2019-01-07 14:54","2019-01-07 16:37",
"Food","00:56","2019-01-07 13:57","2019-01-07 14:54",
"Sport","01:11","2019-01-07 12:45","2019-01-07 13:57",
"Conscious entertainment ","00:34","2019-01-07 12:05","2019-01-07 12:40",
"Transport","00:34","2019-01-07 11:31","2019-01-07 12:05",
"Productivity ","00:32","2019-01-07 10:58","2019-01-07 11:31",
"Transport","00:06","2019-01-07 10:52","2019-01-07 10:58",
"Productivity ","00:21","2019-01-07 10:31","2019-01-07 10:52",
"Routine","00:32","2019-01-07 09:59","2019-01-07 10:31",
"Food","00:15","2019-01-07 09:43","2019-01-07 09:58",
"Routine","00:18","2019-01-07 09:25","2019-01-07 09:43",
"Sleep","10:05","2019-01-06 23:11","2019-01-07 09:16",
"Routine","00:29","2019-01-06 22:42","2019-01-06 23:11",
"Food","00:21","2019-01-06 22:20","2019-01-06 22:42",
"Social / family","01:02","2019-01-06 21:17","2019-01-06 22:19",
"Transport","00:35","2019-01-06 20:42","2019-01-06 21:17",
"Sport","01:30","2019-01-06 19:00","2019-01-06 20:30",""
"Conscious entertainment ","00:29","2019-01-06 18:30","2019-01-06 19:00",""
"Food","00:41","2019-01-06 17:48","2019-01-06 18:30",
"Transport","00:26","2019-01-06 17:21","2019-01-06 17:48",
"Routine","00:14","2019-01-06 17:01","2019-01-06 17:16",
"Conscious entertainment ","01:04","2019-01-06 15:56","2019-01-06 17:01",
"Work Orphic","01:07","2019-01-06 14:48","2019-01-06 15:56",
"Conscious entertainment ","01:22","2019-01-06 13:26","2019-01-06 14:48",
"Food","00:08","2019-01-06 13:17","2019-01-06 13:26",
"Routine","00:34","2019-01-06 12:43","2019-01-06 13:17",
"Productive entertainment ","01:11","2019-01-06 11:31","2019-01-06 12:43",
"Productivity ","00:32","2019-01-06 10:59","2019-01-06 11:31",
"Sleep","10:24","2019-01-06 00:25","2019-01-06 10:49",
"Routine","00:13","2019-01-06 00:11","2019-01-06 00:25",
"Conscious entertainment ","03:25","2019-01-05 20:40","2019-01-06 00:05",""
"Transport","00:34","2019-01-05 20:05","2019-01-05 20:40",""
"Transport","00:09","2019-01-05 19:43","2019-01-05 19:52",
"Non-class learning/prod","02:40","2019-01-05 17:02","2019-01-05 19:42",
"Work Orphic","00:28","2019-01-05 16:34","2019-01-05 17:02",
"Conscious entertainment ","00:25","2019-01-05 16:08","2019-01-05 16:34",
"Food","00:44","2019-01-05 15:23","2019-01-05 16:07",
"Work Orphic","02:25","2019-01-05 12:58","2019-01-05 15:23",
"Productivity ","00:47","2019-01-05 12:10","2019-01-05 12:58",
"Food","00:31","2019-01-05 11:38","2019-01-05 12:10",
"Default actions","00:32","2019-01-05 11:38","2019-01-05 12:10",
"Routine","00:26","2019-01-05 11:05","2019-01-05 11:31",
"Productivity ","00:07","2019-01-05 10:57","2019-01-05 11:05",
"Transport","00:17","2019-01-05 10:32","2019-01-05 10:49",
"Routine","00:14","2019-01-05 10:17","2019-01-05 10:32",
"Sleep","09:56","2019-01-05 00:18","2019-01-05 10:15",
"Routine","00:18","2019-01-05 00:00","2019-01-05 00:18",
"Conscious entertainment ","01:21","2019-01-04 22:38","2019-01-05 00:00",
"Social / family","00:54","2019-01-04 21:44","2019-01-04 22:38",
"Transport","00:19","2019-01-04 21:24","2019-01-04 21:44",
"Transport","00:02","2019-01-04 14:00","2019-01-04 14:03",
"Productivity ","09:53","2019-01-04 11:31","2019-01-04 21:24",
"Transport","01:00","2019-01-04 10:32","2019-01-04 11:33",
"Routine","00:20","2019-01-04 10:11","2019-01-04 10:32",
"Sleep","07:01","2019-01-04 03:08","2019-01-04 10:10",
"Default actions","01:50","2019-01-04 01:18","2019-01-04 03:08",
"Productive entertainment ","05:18","2019-01-03 19:59","2019-01-04 01:18",
"Conscious entertainment ","00:39","2019-01-03 19:20","2019-01-03 19:59",
"Food","00:36","2019-01-03 18:43","2019-01-03 19:19",
"Sleep","00:00","2019-01-03 18:09","2019-01-03 18:09",
"Productivity ","03:34","2019-01-03 15:09","2019-01-03 18:43",""
"Transport","00:30","2019-01-03 13:30","2019-01-03 14:00",""
"Conscious entertainment ","01:18","2019-01-03 12:11","2019-01-03 13:30",""
"Routine","00:16","2019-01-03 11:55","2019-01-03 12:11",
"Time off tracking","46:10","2019-01-01 13:44","2019-01-03 11:55",
"Food","00:40","2019-01-01 13:04","2019-01-01 13:44",
"Transport","00:50","2019-01-01 12:00","2019-01-01 12:50",""
"Social / family","01:30","2019-01-01 10:30","2019-01-01 12:00",""
"Sleep","05:50","2019-01-01 04:40","2019-01-01 10:30",""
"Work Orphic","00:00","2018-12-31 22:20","2018-12-31 22:20",
"Social / family","09:59","2018-12-31 18:40","2019-01-01 04:40",""
"Food","00:00","2018-12-31 18:40","2018-12-31 18:40",
"Social / family","02:44","2018-12-31 15:56","2018-12-31 18:40",
"Productivity ","02:26","2018-12-31 13:29","2018-12-31 15:56",
"Routine","00:19","2018-12-31 13:09","2018-12-31 13:29",
"Sleep","10:21","2018-12-31 02:36","2018-12-31 12:58",
"Conscious entertainment ","04:22","2018-12-30 22:14","2018-12-31 02:36",
"Food","01:25","2018-12-30 20:48","2018-12-30 22:14",
"Productivity ","01:34","2018-12-30 19:13","2018-12-30 20:48",
"Work Orphic","00:35","2018-12-30 18:38","2018-12-30 19:13",
"Conscious entertainment ","06:52","2018-12-30 11:45","2018-12-30 18:38",
"Transport","01:12","2018-12-30 10:32","2018-12-30 11:45",
"Food","00:21","2018-12-30 10:11","2018-12-30 10:32",
"Sleep","08:39","2018-12-30 00:34","2018-12-30 09:13",
"Social / family","02:03","2018-12-29 22:30","2018-12-30 00:34",
"Food","01:49","2018-12-29 20:40","2018-12-29 22:30",
"Social / family","01:25","2018-12-29 19:15","2018-12-29 20:40",""
"Sport","00:58","2018-12-29 18:16","2018-12-29 19:15",""
"Time off tracking","06:22","2018-12-29 11:54","2018-12-29 18:16",
"Food","00:53","2018-12-29 11:00","2018-12-29 11:54",
"Sleep","12:12","2018-12-28 22:16","2018-12-29 10:28",
"Routine","00:17","2018-12-28 21:59","2018-12-28 22:16",
"Social / family","03:45","2018-12-28 17:38","2018-12-28 21:24",
"Sport","01:09","2018-12-28 16:29","2018-12-28 17:38",
"Transport","01:42","2018-12-28 14:22","2018-12-28 16:04",
"Food","00:39","2018-12-28 13:06","2018-12-28 13:46",
"Routine","00:55","2018-12-28 12:07","2018-12-28 13:03",
"Sleep","07:42","2018-12-28 04:18","2018-12-28 12:01",
"Time off tracking","16:08","2018-12-27 12:09","2018-12-28 04:18",
"Food","00:15","2018-12-27 11:47","2018-12-27 12:02",
"Routine","00:17","2018-12-27 11:18","2018-12-27 11:35",
"Sleep","10:26","2018-12-27 00:48","2018-12-27 11:14",
"Me time","04:21","2018-12-26 20:26","2018-12-27 00:47",
"Food","00:45","2018-12-26 19:40","2018-12-26 20:26",
"Productive entertainment ","02:53","2018-12-26 16:47","2018-12-26 19:40",
"Social / family","07:44","2018-12-26 12:15","2018-12-26 19:59",
"Routine","01:08","2018-12-26 11:06","2018-12-26 12:15",
"Sleep","08:54","2018-12-26 01:44","2018-12-26 10:39",
"Food","00:30","2018-12-25 12:53","2018-12-25 13:24",
"Class","00:00","2018-12-25 12:53","2018-12-25 12:53",
"Social / family","13:42","2018-12-25 12:02","2018-12-26 01:44",
"Routine","00:10","2018-12-25 11:14","2018-12-25 11:24",
"Sleep","08:45","2018-12-25 02:28","2018-12-25 11:14",
"Social / family","09:03","2018-12-24 17:24","2018-12-25 02:28",
"Transport","00:16","2018-12-24 17:07","2018-12-24 17:24",
"Productivity ","04:03","2018-12-24 13:04","2018-12-24 17:07",
"Food","00:42","2018-12-24 12:21","2018-12-24 13:03",
"Sport","01:09","2018-12-24 11:10","2018-12-24 12:20",
"Routine","00:19","2018-12-24 10:51","2018-12-24 11:10",
"Sleep","10:11","2018-12-24 00:39","2018-12-24 10:51",
"Default actions","01:52","2018-12-23 22:46","2018-12-24 00:39",
"Transport","00:28","2018-12-23 21:32","2018-12-23 22:01",
"Social / family","04:16","2018-12-23 17:15","2018-12-23 21:32",
"Transport","01:16","2018-12-23 15:59","2018-12-23 17:15",
"Conscious entertainment ","02:48","2018-12-23 13:10","2018-12-23 15:59",""
"Study","01:03","2018-12-23 12:05","2018-12-23 13:08",""
"Food","00:35","2018-12-23 11:29","2018-12-23 12:05",""
"Routine","00:30","2018-12-23 11:00","2018-12-23 11:30",""
"Sleep","10:00","2018-12-23 01:00","2018-12-23 11:00",""
"Default actions","02:00","2018-12-22 23:00","2018-12-23 01:00",""
"Transport","00:30","2018-12-22 22:30","2018-12-22 23:00",""
"Social / family","03:00","2018-12-22 19:30","2018-12-22 22:30",""
"Food","01:00","2018-12-22 18:30","2018-12-22 19:30",""
"Transport","01:00","2018-12-22 17:30","2018-12-22 18:30",""
"Social / family","03:30","2018-12-22 14:00","2018-12-22 17:30",""
"Productivity ","05:00","2018-12-22 09:00","2018-12-22 14:00",""
"Sleep","06:00","2018-12-22 03:00","2018-12-22 09:00",""
"Social / family","08:20","2018-12-21 18:40","2018-12-22 03:00",""
"Transport","00:22","2018-12-21 18:20","2018-12-21 18:42",
"Time off tracking","03:09","2018-12-21 15:10","2018-12-21 18:20",
"Work CAIJ corpo","01:04","2018-12-21 14:01","2018-12-21 15:06",
"Sport","00:15","2018-12-21 13:43","2018-12-21 13:59",
"Productivity ","00:20","2018-12-21 13:23","2018-12-21 13:43",
"Food","00:28","2018-12-21 12:54","2018-12-21 13:23",
"Productivity ","00:00","2018-12-21 12:54","2018-12-21 12:54",
"Food","00:20","2018-12-21 12:34","2018-12-21 12:54",
"Sport","00:30","2018-12-21 12:03","2018-12-21 12:33",
"Work CAIJ corpo","01:11","2018-12-21 10:38","2018-12-21 11:50",
"Sport","00:35","2018-12-21 09:54","2018-12-21 10:30",
"Work Orphic","00:25","2018-12-21 09:29","2018-12-21 09:54",
"Sleep","10:24","2018-12-20 23:04","2018-12-21 09:29",
"Routine","00:05","2018-12-20 22:58","2018-12-20 23:04",
"Class","00:00","2018-12-20 22:52","2018-12-20 22:52",
"Work Orphic","00:15","2018-12-20 22:37","2018-12-20 22:52",
"Social / family","03:03","2018-12-20 19:17","2018-12-20 22:20",""
"Transport","00:49","2018-12-20 18:27","2018-12-20 19:17",""
"Routine","00:19","2018-12-20 18:07","2018-12-20 18:26",
"Transport","01:39","2018-12-20 16:28","2018-12-20 18:07",
"Productivity ","00:44","2018-12-20 15:43","2018-12-20 16:28",
"Work Lumed","00:58","2018-12-20 14:44","2018-12-20 15:43",
"Work Orphic","00:00","2018-12-20 14:44","2018-12-20 14:44",
"Time off tracking","02:08","2018-12-20 12:36","2018-12-20 14:44",
"Sport","00:23","2018-12-20 12:12","2018-12-20 12:36",
"Time off tracking","01:37","2018-12-20 10:35","2018-12-20 12:12",
"Routine","00:26","2018-12-20 10:07","2018-12-20 10:33",
"Food","00:28","2018-12-20 09:37","2018-12-20 10:06",
"Sport","00:45","2018-12-20 08:51","2018-12-20 09:37",
"Me time","01:24","2018-12-20 07:26","2018-12-20 08:51",
"Routine","00:12","2018-12-20 07:14","2018-12-20 07:26",
"Sleep","07:09","2018-12-20 00:03","2018-12-20 07:13",
"Default actions","01:00","2018-12-19 23:03","2018-12-20 00:03",
"Routine","00:11","2018-12-19 22:28","2018-12-19 22:39",
"Me time","00:45","2018-12-19 22:17","2018-12-19 23:02",
"Work Lumed","02:20","2018-12-19 19:45","2018-12-19 22:06",
"Sport","00:23","2018-12-19 19:13","2018-12-19 19:36",
"Food","00:21","2018-12-19 18:51","2018-12-19 19:13",
"Work Lumed","00:46","2018-12-19 18:04","2018-12-19 18:51",
"Transport","01:37","2018-12-19 16:24","2018-12-19 18:02",
"Work Orphic","00:00","2018-12-19 16:01","2018-12-19 16:01",
"Routine","00:23","2018-12-19 16:01","2018-12-19 16:24",
"Food","00:35","2018-12-19 15:25","2018-12-19 16:00",
"Transport","00:22","2018-12-19 15:03","2018-12-19 15:25",
"Productivity ","01:41","2018-12-19 13:21","2018-12-19 15:03",
"Transport","00:27","2018-12-19 12:54","2018-12-19 13:21",
"Productivity ","02:53","2018-12-19 10:01","2018-12-19 12:54",
"Transport","00:41","2018-12-19 09:20","2018-12-19 10:01",
"Routine","00:41","2018-12-19 08:02","2018-12-19 08:44",
"Sleep","08:11","2018-12-18 23:51","2018-12-19 08:02",
"Work Lumed","01:21","2018-12-18 20:34","2018-12-18 21:56",
"Transport","00:13","2018-12-18 20:18","2018-12-18 20:32",
"Productivity ","00:50","2018-12-18 19:28","2018-12-18 20:18",
"Social / family","00:13","2018-12-18 19:15","2018-12-18 19:28",
"Food","01:05","2018-12-18 17:39","2018-12-18 18:45",""
"Transport","00:36","2018-12-18 16:53","2018-12-18 17:30",
"Productivity ","00:15","2018-12-18 16:37","2018-12-18 16:53",
"Work Lumed","04:36","2018-12-18 12:00","2018-12-18 16:37",""
"Routine","00:29","2018-12-18 11:30","2018-12-18 12:00",""
"Food","00:11","2018-12-18 11:17","2018-12-18 11:28",
"Productivity ","00:55","2018-12-18 10:21","2018-12-18 11:17",
"Sport","00:44","2018-12-18 09:34","2018-12-18 10:19",
"Transport","00:22","2018-12-18 08:56","2018-12-18 09:18",
"Routine","00:16","2018-12-18 08:39","2018-12-18 08:55",
"Sleep","06:20","2018-12-18 02:18","2018-12-18 08:38",
"Routine","00:42","2018-12-18 01:28","2018-12-18 02:11",
"Work Lumed","01:57","2018-12-17 23:30","2018-12-18 01:28",""
"Productivity ","02:01","2018-12-17 21:28","2018-12-17 23:30",""
"Conscious entertainment ","01:16","2018-12-17 20:11","2018-12-17 21:28",
"Food","01:14","2018-12-17 18:57","2018-12-17 20:11",
"Work Lumed","00:28","2018-12-17 17:58","2018-12-17 18:26",
"Work Lumed","00:00","2018-12-17 16:28","2018-12-17 16:28",
"Work Lumed","00:00","2018-12-17 16:28","2018-12-17 16:28",
"Work Lumed","00:00","2018-12-17 16:28","2018-12-17 16:28",
"Work Lumed","01:09","2018-12-17 16:28","2018-12-17 17:37",
"Me time","04:33","2018-12-17 11:51","2018-12-17 16:25",
"Transport","00:14","2018-12-17 11:37","2018-12-17 11:51",
"Food","00:11","2018-12-17 11:07","2018-12-17 11:18",
"Routine","00:24","2018-12-17 10:42","2018-12-17 11:07",
"Sleep","09:57","2018-12-17 00:07","2018-12-17 10:05",
"Routine","00:35","2018-12-16 23:32","2018-12-17 00:07",
"Conscious entertainment ","01:30","2018-12-16 22:02","2018-12-16 23:32",
"Food","02:42","2018-12-16 19:19","2018-12-16 22:02",""
"Productivity ","00:15","2018-12-16 18:30","2018-12-16 18:45",""
"Transport","02:00","2018-12-16 16:29","2018-12-16 18:30",""
"Conscious entertainment ","03:51","2018-12-16 12:38","2018-12-16 16:29",
"Productivity ","01:37","2018-12-16 11:00","2018-12-16 12:38",
"Routine","00:30","2018-12-16 10:30","2018-12-16 11:00",
"Sleep","07:12","2018-12-16 03:16","2018-12-16 10:29",
"Conscious entertainment ","04:57","2018-12-15 22:19","2018-12-16 03:16",""
"Transport","00:35","2018-12-15 20:54","2018-12-15 21:30",""
"Work Lumed","02:33","2018-12-15 18:21","2018-12-15 20:54",
"Social / family","04:34","2018-12-15 16:20","2018-12-15 20:54",
"Transport","00:30","2018-12-15 15:49","2018-12-15 16:20",
"Class","02:15","2018-12-15 13:34","2018-12-15 15:49",
"Transport","00:28","2018-12-15 13:05","2018-12-15 13:34",
"Routine","00:16","2018-12-15 12:49","2018-12-15 13:05",
"Sleep","09:37","2018-12-15 03:11","2018-12-15 12:49",
"Conscious entertainment ","04:24","2018-12-14 22:20","2018-12-15 02:44",
"Food","01:10","2018-12-14 21:09","2018-12-14 22:20",
"Work Lumed","03:52","2018-12-14 17:16","2018-12-14 21:09",
"Me time","01:18","2018-12-14 15:57","2018-12-14 17:16",
"Transport","01:55","2018-12-14 13:41","2018-12-14 15:37",
"Conscious entertainment ","00:00","2018-12-14 13:29","2018-12-14 13:29",
"Food","00:52","2018-12-14 12:49","2018-12-14 13:41",
"Routine","00:28","2018-12-14 12:21","2018-12-14 12:49",
"Sleep","02:32","2018-12-14 09:36","2018-12-14 12:09",
"Conscious entertainment ","00:25","2018-12-14 09:10","2018-12-14 09:36",
"Sleep","08:16","2018-12-14 00:54","2018-12-14 09:10",
"Routine","00:02","2018-12-14 00:51","2018-12-14 00:53",
"Me time","01:06","2018-12-13 23:45","2018-12-14 00:51",
"Sport","00:41","2018-12-13 23:02","2018-12-13 23:44",
"Transport","01:30","2018-12-13 21:31","2018-12-13 23:02",
"Social / family","02:34","2018-12-13 18:57","2018-12-13 21:31",
"Transport","00:28","2018-12-13 18:28","2018-12-13 18:57",
"Work CAIJ corpo","00:47","2018-12-13 17:23","2018-12-13 18:11",
"Social / family","02:51","2018-12-13 15:37","2018-12-13 18:28",
"Study","00:00","2018-12-13 15:37","2018-12-13 15:37",
"Transport","00:29","2018-12-13 15:07","2018-12-13 15:37",
"Class","01:19","2018-12-13 13:48","2018-12-13 15:07",
"Transport","00:31","2018-12-13 13:16","2018-12-13 13:48",
"Work Lumed","00:09","2018-12-13 13:07","2018-12-13 13:16",
"Routine","00:24","2018-12-13 12:42","2018-12-13 13:07",
"Default actions","00:36","2018-12-13 12:05","2018-12-13 12:42",
"Sleep","11:35","2018-12-13 00:30","2018-12-13 12:05",
"Routine","00:37","2018-12-12 23:52","2018-12-13 00:30",
"Conscious entertainment ","02:45","2018-12-12 21:03","2018-12-12 23:48",
"Food","01:09","2018-12-12 19:53","2018-12-12 21:03",
"Transport","00:19","2018-12-12 19:34","2018-12-12 19:53",
"Sport","00:35","2018-12-12 18:55","2018-12-12 19:31",
"Social / family","01:28","2018-12-12 17:08","2018-12-12 18:36",
"Transport","00:56","2018-12-12 16:11","2018-12-12 17:08",
"Work Lumed","00:22","2018-12-12 15:40","2018-12-12 16:03",
"Social / family","02:17","2018-12-12 13:53","2018-12-12 16:11",
"Sport","00:00","2018-12-12 13:13","2018-12-12 13:13",
"Transport","00:39","2018-12-12 13:13","2018-12-12 13:53",
"Routine","00:10","2018-12-12 13:02","2018-12-12 13:13",
"Work Parox","00:15","2018-12-12 12:43","2018-12-12 12:59",
"Work Parox","00:46","2018-12-12 11:23","2018-12-12 12:10",
"Productivity ","00:07","2018-12-12 11:15","2018-12-12 11:23",
"Sleep","07:55","2018-12-12 03:15","2018-12-12 11:11",
"Me time","00:46","2018-12-12 02:28","2018-12-12 03:15",
"Work CAIJ corpo","01:02","2018-12-12 01:25","2018-12-12 02:28",""
"Default actions","01:09","2018-12-12 00:15","2018-12-12 01:25",""
"Me time","01:30","2018-12-11 22:44","2018-12-12 00:15",
"Conscious entertainment ","00:00","2018-12-11 22:44","2018-12-11 22:44",
"Food","00:22","2018-12-11 22:22","2018-12-11 22:44",
"Transport","00:33","2018-12-11 21:48","2018-12-11 22:22",
"Work CAIJ corpo","00:41","2018-12-11 20:54","2018-12-11 21:36",
"Work CAIJ corpo","00:11","2018-12-11 20:04","2018-12-11 20:16",
"Social / family","03:55","2018-12-11 17:52","2018-12-11 21:48",
"Transport","01:12","2018-12-11 16:39","2018-12-11 17:52",
"Class","02:52","2018-12-11 13:47","2018-12-11 16:39",
"Study","01:51","2018-12-11 11:55","2018-12-11 13:47",
"Transport","01:23","2018-12-11 10:31","2018-12-11 11:55",
"Food","00:28","2018-12-11 10:03","2018-12-11 10:31",
"Routine","00:45","2018-12-11 09:18","2018-12-11 10:03",
"Sleep","08:38","2018-12-11 00:38","2018-12-11 09:16",
"Routine","00:29","2018-12-11 00:08","2018-12-11 00:38",
"Study","03:02","2018-12-10 21:05","2018-12-11 00:08",
"Food","00:44","2018-12-10 20:16","2018-12-10 21:00",
"Food","00:44","2018-12-10 19:09","2018-12-10 19:54",
"Transport","00:47","2018-12-10 18:22","2018-12-10 19:09",
"Default actions","00:51","2018-12-10 17:16","2018-12-10 18:07",
"Productivity ","00:45","2018-12-10 16:30","2018-12-10 17:15",
"Conscious entertainment ","01:45","2018-12-10 14:44","2018-12-10 16:29",
"Study","00:28","2018-12-10 14:15","2018-12-10 14:44",
"Routine","00:13","2018-12-10 14:00","2018-12-10 14:14",
"Default actions","02:39","2018-12-10 11:21","2018-12-10 14:00",
"Productivity ","00:13","2018-12-10 11:08","2018-12-10 11:21",
"Transport","00:44","2018-12-10 10:24","2018-12-10 11:08",
"Me time","00:11","2018-12-10 10:12","2018-12-10 10:23",
"Study","00:51","2018-12-10 09:20","2018-12-10 10:12",
"Routine","00:55","2018-12-10 08:24","2018-12-10 09:20",
"Sleep","07:52","2018-12-10 00:31","2018-12-10 08:24",
"Routine","00:09","2018-12-10 00:22","2018-12-10 00:31",
"Conscious entertainment ","02:36","2018-12-09 21:45","2018-12-10 00:22",
"Transport","01:08","2018-12-09 20:36","2018-12-09 21:45",
"Food","00:47","2018-12-09 19:49","2018-12-09 20:36",
"Study","04:02","2018-12-09 15:47","2018-12-09 19:49",
"Conscious entertainment ","01:15","2018-12-09 14:31","2018-12-09 15:47",
"Transport","00:33","2018-12-09 13:22","2018-12-09 13:55",
"Conscious entertainment ","00:34","2018-12-09 12:40","2018-12-09 13:15",
"Routine","00:40","2018-12-09 11:47","2018-12-09 12:27",
"Me time","00:38","2018-12-09 11:08","2018-12-09 11:47",
"Sleep","09:41","2018-12-09 00:20","2018-12-09 10:01",
"Routine","00:43","2018-12-08 23:36","2018-12-09 00:19",
"Study","00:56","2018-12-08 22:38","2018-12-08 23:34",
"Social / family","03:08","2018-12-08 19:29","2018-12-08 22:38",
"Productivity ","02:02","2018-12-08 17:27","2018-12-08 19:29",
"Conscious entertainment ","02:30","2018-12-08 14:56","2018-12-08 17:27",
"Food","00:42","2018-12-08 14:14","2018-12-08 14:56",
"Me time","01:27","2018-12-08 12:46","2018-12-08 14:14",
"Transport","00:33","2018-12-08 11:31","2018-12-08 12:05",
"Class","02:50","2018-12-08 08:41","2018-12-08 11:31",
"Transport","00:25","2018-12-08 08:15","2018-12-08 08:40",""
"Routine","00:35","2018-12-08 07:39","2018-12-08 08:15",""
"Sleep","05:22","2018-12-08 02:15","2018-12-08 07:38",
"Study","04:15","2018-12-07 20:33","2018-12-08 00:48",
"Food","01:45","2018-12-07 18:47","2018-12-07 20:33",
"Productivity ","01:34","2018-12-07 17:13","2018-12-07 18:47",
"Transport","00:54","2018-12-07 16:18","2018-12-07 17:13",
"Study","00:00","2018-12-07 16:18","2018-12-07 16:18",
"Conscious entertainment ","00:13","2018-12-07 16:04","2018-12-07 16:18",
"Study","02:09","2018-12-07 13:54","2018-12-07 16:03",
"Default actions","00:42","2018-12-07 13:54","2018-12-07 14:36",
"Transport","00:19","2018-12-07 11:49","2018-12-07 12:09",
"Food","01:04","2018-12-07 10:44","2018-12-07 11:49",
"Transport","00:15","2018-12-07 10:29","2018-12-07 10:44",
"Routine","00:18","2018-12-07 10:10","2018-12-07 10:29",
"Me time","01:05","2018-12-07 09:05","2018-12-07 10:10",
"Sleep","09:02","2018-12-06 23:50","2018-12-07 08:52",
"Routine","00:13","2018-12-06 23:36","2018-12-06 23:50",
"Study","01:32","2018-12-06 22:03","2018-12-06 23:36",
"Social / family","01:38","2018-12-06 20:25","2018-12-06 22:03",
"Food","00:47","2018-12-06 19:38","2018-12-06 20:25",
"Sport","00:41","2018-12-06 19:38","2018-12-06 20:19",
"Transport","01:05","2018-12-06 17:46","2018-12-06 18:52",
"Non-class learning/prod","00:26","2018-12-06 17:15","2018-12-06 17:42",
"Sleep","02:45","2018-12-06 14:20","2018-12-06 17:05",""
"Study","00:39","2018-12-06 13:40","2018-12-06 14:20",""
"Food","00:32","2018-12-06 13:02","2018-12-06 13:34",
"Transport","00:23","2018-12-06 12:27","2018-12-06 12:51",
"Work CAIJ corpo","02:42","2018-12-06 09:43","2018-12-06 12:26",
"Transport","00:26","2018-12-06 09:16","2018-12-06 09:43",
"Routine","00:21","2018-12-06 08:55","2018-12-06 09:16",
"Sleep","05:32","2018-12-06 03:16","2018-12-06 08:48",""
"Default actions","03:50","2018-12-05 23:25","2018-12-06 03:16",""
"Conscious entertainment ","00:54","2018-12-05 22:29","2018-12-05 23:24",
"Food","00:25","2018-12-05 22:04","2018-12-05 22:29",
"Study","00:41","2018-12-05 21:23","2018-12-05 22:04",
"Sport","00:41","2018-12-05 21:23","2018-12-05 22:04",
"Transport","02:28","2018-12-05 18:54","2018-12-05 21:23",
"Productivity ","00:54","2018-12-05 18:00","2018-12-05 18:54",
"Conscious entertainment ","01:21","2018-12-05 16:38","2018-12-05 18:00",
"Study","05:58","2018-12-05 10:40","2018-12-05 16:38",""
"Food","00:15","2018-12-05 10:25","2018-12-05 10:40",""
"Routine","00:10","2018-12-05 10:15","2018-12-05 10:25",""
"Me time","00:25","2018-12-05 09:49","2018-12-05 10:15",""
"Sleep","10:52","2018-12-04 22:57","2018-12-05 09:49",
"Routine","00:11","2018-12-04 22:42","2018-12-04 22:53",
"Conscious entertainment ","00:50","2018-12-04 21:51","2018-12-04 22:42",
"Food","00:16","2018-12-04 21:35","2018-12-04 21:51",
"Work CAIJ corpo","00:26","2018-12-04 21:09","2018-12-04 21:35",
"Food","00:07","2018-12-04 20:52","2018-12-04 20:59",
"Me time","03:29","2018-12-04 17:22","2018-12-04 20:52",
"Productivity ","00:31","2018-12-04 16:51","2018-12-04 17:22",
"Sleep","00:00","2018-12-04 15:55","2018-12-04 15:55",
"Transport","02:35","2018-12-04 14:15","2018-12-04 16:51",
"Class","00:11","2018-12-04 14:04","2018-12-04 14:15",
"Transport","00:17","2018-12-04 13:47","2018-12-04 14:04",
"Food","00:43","2018-12-04 13:04","2018-12-04 13:47",
"Transport","00:00","2018-12-04 13:04","2018-12-04 13:04",
"Food","00:08","2018-12-04 12:56","2018-12-04 13:04",
"Social / family","00:11","2018-12-04 12:44","2018-12-04 12:56",
"Transport","00:33","2018-12-04 12:10","2018-12-04 12:44",
"Conscious entertainment ","00:53","2018-12-04 11:16","2018-12-04 12:10",
"Productivity ","00:04","2018-12-04 11:12","2018-12-04 11:16",
"Work CAIJ corpo","01:15","2018-12-04 09:51","2018-12-04 11:07",
"Transport","00:37","2018-12-04 09:00","2018-12-04 09:37",
"Routine","00:42","2018-12-04 08:17","2018-12-04 08:59",
"Food","00:10","2018-12-04 08:07","2018-12-04 08:17",
"Work Orphic","00:39","2018-12-04 07:27","2018-12-04 08:07",
"Sport","00:59","2018-12-04 06:28","2018-12-04 07:27",
"Routine","00:07","2018-12-04 06:20","2018-12-04 06:28",
"Sleep","06:40","2018-12-03 23:40","2018-12-04 06:20",""
"Study","00:00","2018-12-03 23:30","2018-12-03 23:30",""
"Conscious entertainment ","00:40","2018-12-03 23:00","2018-12-03 23:40",""
"Transport","00:32","2018-12-03 22:27","2018-12-03 23:00",""
"Study","03:06","2018-12-03 19:20","2018-12-03 22:27",""
"Work CAIJ corpo","00:53","2018-12-03 18:06","2018-12-03 19:00",""
"Routine","00:23","2018-12-03 17:43","2018-12-03 18:06",
"Productivity ","00:27","2018-12-03 17:15","2018-12-03 17:43",
"Food","00:19","2018-12-03 16:56","2018-12-03 17:15",
"Sport","00:43","2018-12-03 16:12","2018-12-03 16:56",
"Transport","00:49","2018-12-03 14:59","2018-12-03 15:48",
"Work Orphic","01:56","2018-12-03 13:02","2018-12-03 14:59",
"Transport","00:09","2018-12-03 12:52","2018-12-03 13:02",
"Routine","00:49","2018-12-03 11:57","2018-12-03 12:46",
"Sleep","23:25","2018-12-03 00:05","2018-12-03 23:30",""
